id,year,institute,country,topic,title
1,2018,Research DNA GmbH,Germany,Automotive,Global Electric Vehicle Market Outlook 2018-2023
2,2018,Market Insights Inc.,USA,Healthcare,Digital Health Market Size and Growth Analysis
3,2018,Global Trends Research,UK,FMCG,Premium Beauty and Personal Care Market Trends
4,2018,Data Analytics Group,Canada,Electronics,Smartphone Industry Competitive Analysis
5,2018,Innovative Solutions Ltd.,Australia,Insurance,Insurtech Market Landscape and Opportunities
6,2019,Consumer Research Co.,France,Media,OTT Streaming Services Market Assessment
7,2019,Future Vision Analytics,Netherlands,Automotive,Commercial Vehicle Market Forecast 2024
8,2019,Insightful Reports,Sweden,Healthcare,Medical Devices Market Share Analysis
9,2019,Market Dynamics,Italy,FMCG,Packaged Food Market Size and Forecast
10,2019,Tech Research Hub,Spain,Electronics,Consumer Electronics Market Overview
11,2020,Global Health Insights,USA,Insurance,Life Insurance Market Trends and Outlook
12,2020,Tech Innovations Ltd.,Germany,Media,Digital Advertising Spend Analysis
13,2020,Market Research Group,UK,Automotive,Luxury Vehicle Market Assessment
14,2020,Education Analytics,Canada,Healthcare,Healthcare IT Market Growth Analysis
15,2020,Travel Insights,Australia,FMCG,Household Care Products Market Report
16,2021,Food Research Institute,France,Electronics,Wearable Technology Market Overview
17,2021,Consumer Insights Co.,Netherlands,Insurance,Property Insurance Market Analysis
18,2021,Urban Studies Group,Italy,Media,Social Media Advertising Market Size
19,2021,Telecom Research Hub,Spain,Automotive,Connected Car Market Opportunities
20,2021,AI Research Institute,Sweden,Healthcare,Telehealth Market Size and Forecast
21,2022,Research DNA GmbH,Germany,FMCG,Beverage Market Competitive Analysis
22,2022,Market Insights Inc.,USA,Electronics,Gaming Hardware Market Assessment
23,2022,Global Trends Research,UK,Insurance,Health Insurance Market Overview
24,2022,Data Analytics Group,Canada,Media,Video Streaming Platform Analysis
25,2022,Innovative Solutions Ltd.,Australia,Automotive,EV Battery Market Growth Analysis
26,2023,Consumer Research Co.,France,Healthcare,Hospital Services Market Report
27,2023,Future Vision Analytics,Netherlands,Pet Care,Pet Care Products Market Trends
28,2023,Insightful Reports,Sweden,Electronics,Smart Home Devices Market Analysis
29,2023,Market Dynamics,Italy,Insurance,Cyber Insurance Market Assessment
30,2023,Tech Research Hub,Spain,Media,Gaming Content Market Overview
31,2024,Global Health Insights,USA,Automotive,Autonomous Vehicle Market Forecast
32,2024,Tech Innovations Ltd.,Germany,Healthcare,Medical Imaging Equipment Market Size
33,2024,Market Research Group,UK,FMCG,Organic Food Market Growth Analysis
34,2024,Education Analytics,Canada,Electronics,Semiconductor Industry Analysis
35,2024,Travel Insights,Australia,Insurance,Commercial Insurance Market Report
36,2024,Food Research Institute,France,Media,Podcast Industry Market Assessment
37,2024,Consumer Insights Co.,Netherlands,Automotive,Auto Parts Aftermarket Overview
38,2024,Urban Studies Group,Italy,Healthcare,Pharmaceutical Market Landscape
39,2024,Telecom Research Hub,Spain,FMCG,Luxury Cosmetics Market Analysis
40,2024,AI Research Institute,Sweden,Electronics,Mobile Phone Market Forecast
